dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
512,1,5.267163991928101,27,1,11.543505668640137,12,,,,1,1.1447110176086426,27,1,6.898867845535278,12,,,,223.9991455078125,155.6953125,
1024,1,10.986632823944092,27,1,20.64003610610962,11,,,,1,1.930048942565918,27,1,11.185052156448364,11,,,,223.99978637695312,143.859375,
2048,1,31.903165817260742,28,1,48.92852592468262,10,,,,1,5.010046720504761,28,1,21.006243228912354,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.3165426254272461,200,,,,,,,1,0.04068326950073242,200,,,201.0
21,,,,,,,1,0.21936964988708496,300,,,,,,,1,0.04481792449951172,300,,,301.0
27,,,,,,,1,0.21343374252319336,400,,,,,,,1,0.04736161231994629,400,,,401.0
35,,,,,,,1,0.24878907203674316,800,,,,,,,1,0.06619048118591309,800,,,801.0
46,,,,,,,1,0.37868499755859375,1600,,,,,,,1,0.10295391082763672,1600,,,1601.0
60,,,,,,,1,0.43730998039245605,2800,,,,,,,1,0.1546168327331543,2800,,,2801.0
78,,,,,,,1,0.4328618049621582,4600,,,,,,,1,0.23843765258789062,4600,,,4601.0
101,,,,,,,1,0.7044463157653809,7800,,,,,,,1,0.3829352855682373,7800,,,7801.0
131,,,,,,,1,0.8985376358032227,13400,,,,,,,1,0.631629467010498,13400,,,13401.0
170,,,,,,,1,1.6924169063568115,22400,,,,,,,1,1.249680757522583,22400,,,22401.0
221,,,,,,,1,3.6364481449127197,38000,,,,,,,1,3.0928001403808594,38000,,,38001.0
287,,,,,,,1,8.508248090744019,64200,,,,,,,1,7.761290788650513,64200,,,64201.0
