dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
16,1,1.5268192291259766,6,1,1.8329544067382812,6,,,,1,0.2601966857910156,6,1,0.44855570793151855,6,,,,55.78125,78.75,
32,1,1.874462366104126,10,1,2.4165942668914795,9,,,,1,0.37763142585754395,10,1,0.7583174705505371,9,,,,87.9140625,116.25,
64,1,2.260357141494751,12,1,3.1565561294555664,9,,,,1,0.49581241607666016,12,1,1.1614856719970703,9,,,,103.974609375,118.125,
128,1,2.9193878173828125,13,1,4.146124601364136,8,,,,1,0.6283884048461914,13,1,1.8377528190612793,8,,,,111.9931640625,107.15625,
256,1,3.7539467811584473,13,1,5.959261178970337,7,,,,1,0.7694516181945801,13,1,2.687812328338623,7,,,,111.998291015625,95.625,
512,1,5.047811031341553,13,1,9.234101295471191,7,,,,1,0.9640750885009766,13,1,4.661165237426758,7,,,,111.99957275390625,95.8125,
1024,1,10.240488290786743,13,1,17.70094084739685,7,,,,1,1.4231088161468506,13,1,8.544234991073608,7,,,,111.99989318847656,95.90625,
2048,1,29.08777904510498,13,1,42.77208495140076,7,,,,1,2.9825994968414307,13,1,16.42080783843994,7,,,,111.99997329711914,95.953125,
16,,,,,,,1,0.1985471248626709,100,,,,,,,1,0.033734798431396484,100,,,101.0
21,,,,,,,1,0.29511141777038574,100,,,,,,,1,0.033521413803100586,100,,,101.0
27,,,,,,,1,0.3019263744354248,200,,,,,,,1,0.03811931610107422,200,,,201.0
35,,,,,,,1,0.3144419193267822,400,,,,,,,1,0.04683518409729004,400,,,401.0
46,,,,,,,1,0.33780431747436523,800,,,,,,,1,0.06566929817199707,800,,,801.0
60,,,,,,,1,0.37165117263793945,1400,,,,,,,1,0.09270310401916504,1400,,,1401.0
78,,,,,,,1,0.4293649196624756,2300,,,,,,,1,0.1347503662109375,2300,,,2301.0
101,,,,,,,1,0.5222659111022949,3900,,,,,,,1,0.20487475395202637,3900,,,3901.0
131,,,,,,,1,0.6888759136199951,6700,,,,,,,1,0.33498072624206543,6700,,,6701.0
170,,,,,,,1,1.0830845832824707,11200,,,,,,,1,0.6398088932037354,11200,,,11201.0
221,,,,,,,1,2.1004858016967773,19000,,,,,,,1,1.5617108345031738,19000,,,19001.0
287,,,,,,,1,4.5455992221832275,32100,,,,,,,1,3.8924288749694824,32100,,,32101.0
373,,,,,,,1,12.497766256332397,54300,,,,,,,1,11.435901641845703,54300,,,54301.0
485,,,,,,,1,32.80681848526001,91800,,,,,,,1,31.261412143707275,91800,,,91801.0
630,,,,,,,1,91.0876944065094,155000,,,,,,,1,88.71467924118042,155000,,,155001.0
16,1,1.3489885330200195,6,1,1.8218343257904053,6,,,,1,0.2625458240509033,6,1,0.4531729221343994,6,,,,55.78125,78.75,
32,1,1.8691256046295166,10,1,2.4121038913726807,9,,,,1,0.3793971538543701,10,1,0.7674524784088135,9,,,,87.9140625,116.25,
64,1,2.257404088973999,12,1,3.216017484664917,9,,,,1,0.49637293815612793,12,1,1.1914441585540771,9,,,,103.974609375,118.125,
128,1,2.8931565284729004,13,1,4.17095160484314,8,,,,1,0.6189377307891846,13,1,1.742650032043457,8,,,,111.9931640625,107.15625,
256,1,3.699489116668701,13,1,6.002140760421753,7,,,,1,0.7745749950408936,13,1,2.735898494720459,7,,,,111.998291015625,95.625,
512,1,5.048794507980347,13,1,9.277336120605469,7,,,,1,0.9704890251159668,13,1,4.650743246078491,7,,,,111.99957275390625,95.8125,
1024,1,10.400032043457031,13,1,17.733736753463745,7,,,,1,1.4445395469665527,13,1,8.547928810119629,7,,,,111.99989318847656,95.90625,
2048,1,29.821186780929565,13,1,43.45148491859436,7,,,,1,2.9807000160217285,13,1,16.29490303993225,7,,,,111.99997329711914,95.953125,
16,,,,,,,1,0.2958369255065918,100,,,,,,,1,0.033611297607421875,100,,,101.0
21,,,,,,,1,0.29282379150390625,100,,,,,,,1,0.03274965286254883,100,,,101.0
27,,,,,,,1,0.3036637306213379,200,,,,,,,1,0.03829622268676758,200,,,201.0
35,,,,,,,1,0.31422972679138184,400,,,,,,,1,0.04748725891113281,400,,,401.0
46,,,,,,,1,0.23921918869018555,800,,,,,,,1,0.06534123420715332,800,,,801.0
60,,,,,,,1,0.3751561641693115,1400,,,,,,,1,0.09319376945495605,1400,,,1401.0
78,,,,,,,1,0.42704176902770996,2300,,,,,,,1,0.13298773765563965,2300,,,2301.0
101,,,,,,,1,0.5221402645111084,3900,,,,,,,1,0.20500612258911133,3900,,,3901.0
131,,,,,,,1,0.6846582889556885,6700,,,,,,,1,0.3344998359680176,6700,,,6701.0
170,,,,,,,1,1.0826616287231445,11200,,,,,,,1,0.6397275924682617,11200,,,11201.0
221,,,,,,,1,2.1135454177856445,19000,,,,,,,1,1.5614333152770996,19000,,,19001.0
287,,,,,,,1,4.518468856811523,32100,,,,,,,1,3.892669439315796,32100,,,32101.0
373,,,,,,,1,12.464604139328003,54300,,,,,,,1,11.436640977859497,54300,,,54301.0
485,,,,,,,1,32.727256298065186,91800,,,,,,,1,31.26570749282837,91800,,,91801.0
630,,,,,,,1,91.07890343666077,155000,,,,,,,1,88.73436236381531,155000,,,155001.0
16,1,1.364572525024414,6,1,1.8233788013458252,6,,,,1,0.26209473609924316,6,1,0.44989919662475586,6,,,,55.78125,78.75,
32,1,1.8569839000701904,10,1,2.414297580718994,9,,,,1,0.3724792003631592,10,1,0.7605583667755127,9,,,,87.9140625,116.25,
64,1,2.279017925262451,12,1,3.195983648300171,9,,,,1,0.495297908782959,12,1,1.1644952297210693,9,,,,103.974609375,118.125,
128,1,2.900533676147461,13,1,4.095601320266724,8,,,,1,0.619030237197876,13,1,1.7502164840698242,8,,,,111.9931640625,107.15625,
256,1,3.7701056003570557,13,1,5.994019508361816,7,,,,1,0.7651815414428711,13,1,2.7303082942962646,7,,,,111.998291015625,95.625,
512,1,5.065585374832153,13,1,9.119086503982544,7,,,,1,0.9629590511322021,13,1,4.48271107673645,7,,,,111.99957275390625,95.8125,
1024,1,10.266345262527466,13,1,17.977771043777466,7,,,,1,1.4677340984344482,13,1,8.407505989074707,7,,,,111.99989318847656,95.90625,
2048,1,30.275619506835938,13,1,43.199424743652344,7,,,,1,2.9757540225982666,13,1,15.095868110656738,7,,,,111.99997329711914,95.953125,
16,,,,,,,1,0.19693565368652344,100,,,,,,,1,0.03615212440490723,100,,,101.0
21,,,,,,,1,0.3035163879394531,100,,,,,,,1,0.036290645599365234,100,,,101.0
27,,,,,,,1,0.2034769058227539,200,,,,,,,1,0.038091182708740234,200,,,201.0
35,,,,,,,1,0.3109002113342285,400,,,,,,,1,0.047068119049072266,400,,,401.0
46,,,,,,,1,0.33336782455444336,800,,,,,,,1,0.0652775764465332,800,,,801.0
60,,,,,,,1,0.3703160285949707,1400,,,,,,,1,0.09201216697692871,1400,,,1401.0
78,,,,,,,1,0.43411898612976074,2300,,,,,,,1,0.13794922828674316,2300,,,2301.0
101,,,,,,,1,0.5239710807800293,3900,,,,,,,1,0.2072288990020752,3900,,,3901.0
131,,,,,,,1,0.690338134765625,6700,,,,,,,1,0.33325791358947754,6700,,,6701.0
170,,,,,,,1,0.9966039657592773,11200,,,,,,,1,0.6393735408782959,11200,,,11201.0
221,,,,,,,1,2.121091604232788,19000,,,,,,,1,1.5618185997009277,19000,,,19001.0
287,,,,,,,1,4.622055768966675,32100,,,,,,,1,3.8915934562683105,32100,,,32101.0
373,,,,,,,1,12.487494230270386,54300,,,,,,,1,11.437400102615356,54300,,,54301.0
485,,,,,,,1,32.801597118377686,91800,,,,,,,1,31.266713619232178,91800,,,91801.0
630,,,,,,,1,91.07708668708801,155000,,,,,,,1,88.71779370307922,155000,,,155001.0
16,1,1.3591418266296387,6,1,1.8095662593841553,6,,,,1,0.2628018856048584,6,1,0.4481487274169922,6,,,,55.78125,78.75,
32,1,1.848616600036621,10,1,2.3978559970855713,9,,,,1,0.3725426197052002,10,1,0.7816405296325684,9,,,,87.9140625,116.25,
64,1,2.27497935295105,12,1,3.1882572174072266,9,,,,1,0.4949936866760254,12,1,1.1639597415924072,9,,,,103.974609375,118.125,
128,1,2.8955323696136475,13,1,4.289841651916504,8,,,,1,0.7247610092163086,13,1,1.8279335498809814,8,,,,111.9931640625,107.15625,
256,1,3.709965705871582,13,1,6.239759206771851,7,,,,1,0.7995295524597168,13,1,2.6549837589263916,7,,,,111.998291015625,95.625,
512,1,5.1047444343566895,13,1,9.381866931915283,7,,,,1,0.973414421081543,13,1,4.659860134124756,7,,,,111.99957275390625,95.8125,
1024,1,10.3157799243927,13,1,17.47819495201111,7,,,,1,1.4359605312347412,13,1,8.177364110946655,7,,,,111.99989318847656,95.90625,
2048,1,28.776131629943848,13,1,42.788898944854736,7,,,,1,3.0260751247406006,13,1,16.0975980758667,7,,,,111.99997329711914,95.953125,
16,,,,,,,1,0.1938645839691162,100,,,,,,,1,0.03247952461242676,100,,,101.0
21,,,,,,,1,0.2936246395111084,100,,,,,,,1,0.0328829288482666,100,,,101.0
27,,,,,,,1,0.19995546340942383,200,,,,,,,1,0.0378725528717041,200,,,201.0
35,,,,,,,1,0.3135089874267578,400,,,,,,,1,0.04722952842712402,400,,,401.0
46,,,,,,,1,0.33651304244995117,800,,,,,,,1,0.06584501266479492,800,,,801.0
60,,,,,,,1,0.27260661125183105,1400,,,,,,,1,0.0926659107208252,1400,,,1401.0
78,,,,,,,1,0.33193016052246094,2300,,,,,,,1,0.1344282627105713,2300,,,2301.0
101,,,,,,,1,0.5207114219665527,3900,,,,,,,1,0.20644569396972656,3900,,,3901.0
131,,,,,,,1,0.5906593799591064,6700,,,,,,,1,0.33306193351745605,6700,,,6701.0
170,,,,,,,1,0.972320556640625,11200,,,,,,,1,0.6413524150848389,11200,,,11201.0
221,,,,,,,1,2.1147615909576416,19000,,,,,,,1,1.561725378036499,19000,,,19001.0
287,,,,,,,1,4.559122562408447,32100,,,,,,,1,3.8925857543945312,32100,,,32101.0
373,,,,,,,1,12.40750241279602,54300,,,,,,,1,11.435932874679565,54300,,,54301.0
