dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
16,1,1.5311615467071533,8,1,1.8575804233551025,8,,,,1,0.26678013801574707,8,1,0.4791700839996338,8,,,,71.71875,101.25,
32,1,1.8957171440124512,12,1,2.4686009883880615,11,,,,1,0.3831751346588135,12,1,0.8015506267547607,11,,,,103.8984375,139.5,
64,1,2.32712721824646,14,1,3.3350095748901367,10,,,,1,0.53157639503479,14,1,1.2824349403381348,10,,,,119.970703125,129.9375,
128,1,2.8877291679382324,15,1,4.179455995559692,8,,,,1,0.6415233612060547,15,1,1.8301575183868408,8,,,,127.9921875,107.15625,
256,1,3.7692205905914307,15,1,6.106251239776611,8,,,,1,0.7874910831451416,15,1,3.0111825466156006,8,,,,127.998046875,107.578125,
512,1,5.150676250457764,15,1,9.264864921569824,7,,,,1,0.9929864406585693,15,1,4.684913635253906,7,,,,127.99951171875,95.8125,
1024,1,10.355337619781494,15,1,17.738137245178223,7,,,,1,1.507948875427246,15,1,8.536908864974976,7,,,,127.9998779296875,95.90625,
2048,1,29.497770071029663,16,1,42.66839861869812,7,,,,1,3.382564067840576,16,1,16.131781339645386,7,,,,135.99996757507324,95.953125,
16,,,,,,,1,0.19728970527648926,100,,,,,,,1,0.03387594223022461,100,,,101.0
21,,,,,,,1,0.3009028434753418,200,,,,,,,1,0.03828930854797363,200,,,201.0
27,,,,,,,1,0.2035682201385498,200,,,,,,,1,0.03829526901245117,200,,,201.0
35,,,,,,,1,0.31432676315307617,400,,,,,,,1,0.04731893539428711,400,,,401.0
46,,,,,,,1,0.23971247673034668,800,,,,,,,1,0.06653189659118652,800,,,801.0
60,,,,,,,1,0.3753783702850342,1400,,,,,,,1,0.09281492233276367,1400,,,1401.0
78,,,,,,,1,0.4258875846862793,2300,,,,,,,1,0.13416743278503418,2300,,,2301.0
101,,,,,,,1,0.43703770637512207,3900,,,,,,,1,0.2089376449584961,3900,,,3901.0
131,,,,,,,1,0.6956732273101807,6700,,,,,,,1,0.3349156379699707,6700,,,6701.0
170,,,,,,,1,1.0758345127105713,11200,,,,,,,1,0.6402275562286377,11200,,,11201.0
221,,,,,,,1,2.000697374343872,19000,,,,,,,1,1.5614526271820068,19000,,,19001.0
287,,,,,,,1,4.55050253868103,32100,,,,,,,1,3.892001152038574,32100,,,32101.0
373,,,,,,,1,12.5119469165802,54300,,,,,,,1,11.444279432296753,54300,,,54301.0
485,,,,,,,1,32.86107349395752,91800,,,,,,,1,31.257137298583984,91800,,,91801.0
630,,,,,,,1,91.13030958175659,155000,,,,,,,1,88.74462175369263,155000,,,155001.0
16,1,1.3783535957336426,8,1,1.8540799617767334,8,,,,1,0.26986265182495117,8,1,0.48476243019104004,8,,,,71.71875,101.25,
32,1,1.8792812824249268,12,1,2.4800920486450195,11,,,,1,0.3827400207519531,12,1,0.8143250942230225,11,,,,103.8984375,139.5,
64,1,2.2908241748809814,14,1,3.2644996643066406,10,,,,1,0.5029966831207275,14,1,1.273629903793335,10,,,,119.970703125,129.9375,
128,1,3.034738779067993,15,1,4.1977903842926025,8,,,,1,0.6522090435028076,15,1,1.8494665622711182,8,,,,127.9921875,107.15625,
256,1,3.757686138153076,15,1,6.070825815200806,8,,,,1,0.7860021591186523,15,1,2.869586229324341,8,,,,127.998046875,107.578125,
512,1,5.087596654891968,15,1,9.172338962554932,7,,,,1,0.9918124675750732,15,1,4.6639838218688965,7,,,,127.99951171875,95.8125,
1024,1,10.519495248794556,15,1,17.184062242507935,7,,,,1,1.5229995250701904,15,1,8.037179708480835,7,,,,127.9998779296875,95.90625,
2048,1,31.49585485458374,16,1,43.59926247596741,7,,,,1,3.3740108013153076,16,1,14.947020769119263,7,,,,135.99996757507324,95.953125,
16,,,,,,,1,0.2936832904815674,100,,,,,,,1,0.03339862823486328,100,,,101.0
21,,,,,,,1,0.20047950744628906,200,,,,,,,1,0.03803253173828125,200,,,201.0
27,,,,,,,1,0.3023836612701416,200,,,,,,,1,0.03786182403564453,200,,,201.0
35,,,,,,,1,0.31512975692749023,400,,,,,,,1,0.04723358154296875,400,,,401.0
46,,,,,,,1,0.34878969192504883,800,,,,,,,1,0.06920576095581055,800,,,801.0
60,,,,,,,1,0.4376983642578125,1400,,,,,,,1,0.09457731246948242,1400,,,1401.0
78,,,,,,,1,0.3285095691680908,2300,,,,,,,1,0.13350486755371094,2300,,,2301.0
101,,,,,,,1,0.518657922744751,3900,,,,,,,1,0.2038891315460205,3900,,,3901.0
131,,,,,,,1,0.5822937488555908,6700,,,,,,,1,0.3309135437011719,6700,,,6701.0
170,,,,,,,1,0.9898741245269775,11200,,,,,,,1,0.6417398452758789,11200,,,11201.0
221,,,,,,,1,2.117307662963867,19000,,,,,,,1,1.5614674091339111,19000,,,19001.0
287,,,,,,,1,4.629323244094849,32100,,,,,,,1,3.891913890838623,32100,,,32101.0
373,,,,,,,1,12.41954779624939,54300,,,,,,,1,11.442126512527466,54300,,,54301.0
485,,,,,,,1,32.71831297874451,91800,,,,,,,1,31.25786805152893,91800,,,91801.0
630,,,,,,,1,91.00571417808533,155000,,,,,,,1,88.71492600440979,155000,,,155001.0
