dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
16,1,1.5640740394592285,19,1,1.9651799201965332,18,,,,1,0.31094980239868164,19,1,0.6112942695617676,18,,,,159.375,213.75,
32,1,1.9451258182525635,27,1,2.6599245071411133,20,,,,1,0.44829511642456055,27,1,1.0185766220092773,20,,,,223.78125,244.125,
64,1,2.3604938983917236,30,1,3.6848933696746826,18,,,,1,0.592731237411499,30,1,1.6696362495422363,18,,,,247.939453125,224.4375,
128,1,2.989020347595215,31,1,5.010852098464966,16,,,,1,0.7362334728240967,31,1,2.6828808784484863,16,,,,255.984375,202.40625,
256,1,3.9075746536254883,32,1,7.760291337966919,15,,,,1,0.932187557220459,32,1,4.591770648956299,15,,,,263.9959716796875,191.25,
512,1,5.273430824279785,32,1,12.43679165840149,14,,,,1,1.1984848976135254,32,1,7.742194652557373,14,,,,263.9989929199219,179.6484375,
1024,1,10.951639652252197,33,1,21.963342428207397,13,,,,1,2.1348376274108887,33,1,12.78543758392334,13,,,,271.99974060058594,167.8359375,
2048,1,31.94935369491577,33,1,51.847421646118164,12,,,,1,5.668015003204346,33,1,25.093567848205566,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.20356273651123047,200,,,,,,,1,0.038445472717285156,200,,,201.0
21,,,,,,,1,0.3023042678833008,300,,,,,,,1,0.042960166931152344,300,,,301.0
27,,,,,,,1,0.3167996406555176,600,,,,,,,1,0.058027029037475586,600,,,601.0
35,,,,,,,1,0.32889723777770996,800,,,,,,,1,0.06395387649536133,800,,,801.0
46,,,,,,,1,0.3753054141998291,1600,,,,,,,1,0.10221552848815918,1600,,,1601.0
60,,,,,,,1,0.43701672554016113,2800,,,,,,,1,0.15634679794311523,2800,,,2801.0
78,,,,,,,1,0.4312770366668701,4600,,,,,,,1,0.23633289337158203,4600,,,4601.0
101,,,,,,,1,0.6042304039001465,7800,,,,,,,1,0.3826944828033447,7800,,,7801.0
131,,,,,,,1,0.9925947189331055,13400,,,,,,,1,0.6316807270050049,13400,,,13401.0
170,,,,,,,1,1.7031121253967285,22400,,,,,,,1,1.250342845916748,22400,,,22401.0
221,,,,,,,1,3.557070732116699,38000,,,,,,,1,3.093165397644043,38000,,,38001.0
287,,,,,,,1,8.419353485107422,64200,,,,,,,1,7.7568159103393555,64200,,,64201.0
373,,,,,,,1,23.876296281814575,108600,,,,,,,1,22.84021496772766,108600,,,108601.0
485,,,,,,,1,64.05940461158752,183600,,,,,,,1,62.48410630226135,183600,,,183601.0
630,,,,,,,1,179.69735717773438,310000,,,,,,,1,177.33765196800232,310000,,,310001.0
16,1,1.4056787490844727,19,1,1.9515905380249023,18,,,,1,0.3106350898742676,19,1,0.6017355918884277,18,,,,159.375,213.75,
32,1,1.944645643234253,27,1,2.701856851577759,20,,,,1,0.4489467144012451,27,1,1.0398848056793213,20,,,,223.78125,244.125,
64,1,2.419947624206543,30,1,3.6886818408966064,18,,,,1,0.6196384429931641,30,1,1.6120669841766357,18,,,,247.939453125,224.4375,
128,1,3.0123353004455566,31,1,4.866359710693359,16,,,,1,0.7438662052154541,31,1,2.527712821960449,16,,,,255.984375,202.40625,
256,1,3.9250404834747314,32,1,7.545229196548462,15,,,,1,0.9318950176239014,32,1,4.240765333175659,15,,,,263.9959716796875,191.25,
512,1,5.2886834144592285,32,1,12.173103094100952,14,,,,1,1.242077112197876,32,1,7.6701741218566895,14,,,,263.9989929199219,179.6484375,
1024,1,10.92512845993042,33,1,23.69188404083252,13,,,,1,2.1627941131591797,33,1,13.858396768569946,13,,,,271.99974060058594,167.8359375,
2048,1,32.90815305709839,33,1,53.179539918899536,12,,,,1,5.682242393493652,33,1,24.403547048568726,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.1991102695465088,200,,,,,,,1,0.037808895111083984,200,,,201.0
21,,,,,,,1,0.30495548248291016,300,,,,,,,1,0.04290652275085449,300,,,301.0
27,,,,,,,1,0.31998658180236816,600,,,,,,,1,0.05710554122924805,600,,,601.0
35,,,,,,,1,0.33283329010009766,800,,,,,,,1,0.06580042839050293,800,,,801.0
46,,,,,,,1,0.27535200119018555,1600,,,,,,,1,0.10206389427185059,1600,,,1601.0
60,,,,,,,1,0.4350626468658447,2800,,,,,,,1,0.15633893013000488,2800,,,2801.0
78,,,,,,,1,0.43404340744018555,4600,,,,,,,1,0.23900461196899414,4600,,,4601.0
101,,,,,,,1,0.7028295993804932,7800,,,,,,,1,0.3819847106933594,7800,,,7801.0
131,,,,,,,1,1.118988275527954,13400,,,,,,,1,0.6564517021179199,13400,,,13401.0
170,,,,,,,1,1.703338623046875,22400,,,,,,,1,1.2525055408477783,22400,,,22401.0
221,,,,,,,1,3.528292417526245,38000,,,,,,,1,3.0916202068328857,38000,,,38001.0
287,,,,,,,1,8.395958185195923,64200,,,,,,,1,7.7577314376831055,64200,,,64201.0
373,,,,,,,1,23.807510137557983,108600,,,,,,,1,22.839707374572754,108600,,,108601.0
485,,,,,,,1,64.00419616699219,183600,,,,,,,1,62.483195543289185,183600,,,183601.0
630,,,,,,,1,179.70979523658752,310000,,,,,,,1,177.33052277565002,310000,,,310001.0
16,1,1.4179415702819824,19,1,1.96867036819458,18,,,,1,0.31127333641052246,19,1,0.6011972427368164,18,,,,159.375,213.75,
32,1,1.9653379917144775,27,1,2.7134947776794434,20,,,,1,0.4459874629974365,27,1,1.0600790977478027,20,,,,223.78125,244.125,
64,1,2.3917152881622314,30,1,3.62546968460083,18,,,,1,0.5929780006408691,30,1,1.6056876182556152,18,,,,247.939453125,224.4375,
128,1,3.007887840270996,31,1,4.884666204452515,16,,,,1,0.7405927181243896,31,1,2.5491504669189453,16,,,,255.984375,202.40625,
256,1,3.9041898250579834,32,1,7.454832077026367,15,,,,1,0.9228155612945557,32,1,4.236896276473999,15,,,,263.9959716796875,191.25,
512,1,5.293966293334961,32,1,12.24916696548462,14,,,,1,1.193213939666748,32,1,7.627358675003052,14,,,,263.9989929199219,179.6484375,
1024,1,11.139202356338501,33,1,23.20507001876831,13,,,,1,2.145341396331787,33,1,13.778709888458252,13,,,,271.99974060058594,167.8359375,
2048,1,31.622532844543457,33,1,52.011844635009766,12,,,,1,5.69119930267334,33,1,25.098644018173218,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.3014671802520752,200,,,,,,,1,0.0390324592590332,200,,,201.0
21,,,,,,,1,0.20334315299987793,300,,,,,,,1,0.042882442474365234,300,,,301.0
27,,,,,,,1,0.22279977798461914,600,,,,,,,1,0.056893348693847656,600,,,601.0
35,,,,,,,1,0.23489117622375488,800,,,,,,,1,0.06563258171081543,800,,,801.0
46,,,,,,,1,0.3733046054840088,1600,,,,,,,1,0.10106706619262695,1600,,,1601.0
60,,,,,,,1,0.43604350090026855,2800,,,,,,,1,0.15493154525756836,2800,,,2801.0
78,,,,,,,1,0.42493343353271484,4600,,,,,,,1,0.23490571975708008,4600,,,4601.0
101,,,,,,,1,0.6960158348083496,7800,,,,,,,1,0.3785073757171631,7800,,,7801.0
131,,,,,,,1,0.997880220413208,13400,,,,,,,1,0.630251407623291,13400,,,13401.0
170,,,,,,,1,1.6280434131622314,22400,,,,,,,1,1.2536604404449463,22400,,,22401.0
221,,,,,,,1,3.537776470184326,38000,,,,,,,1,3.093702793121338,38000,,,38001.0
287,,,,,,,1,8.395337581634521,64200,,,,,,,1,7.75893759727478,64200,,,64201.0
373,,,,,,,1,23.89959692955017,108600,,,,,,,1,22.840365409851074,108600,,,108601.0
485,,,,,,,1,63.924421072006226,183600,,,,,,,1,62.47966456413269,183600,,,183601.0
630,,,,,,,1,179.66656684875488,310000,,,,,,,1,177.3303849697113,310000,,,310001.0
16,1,1.3931491374969482,19,1,1.9587838649749756,18,,,,1,0.303128719329834,19,1,0.5942933559417725,18,,,,159.375,213.75,
32,1,1.9371695518493652,27,1,2.705838441848755,20,,,,1,0.45753049850463867,27,1,1.0526208877563477,20,,,,223.78125,244.125,
64,1,2.4126482009887695,30,1,3.7580819129943848,18,,,,1,0.5999641418457031,30,1,1.6996135711669922,18,,,,247.939453125,224.4375,
128,1,3.0876684188842773,31,1,5.019315481185913,16,,,,1,0.7444915771484375,31,1,2.717334032058716,16,,,,255.984375,202.40625,
256,1,3.9163365364074707,32,1,7.659245491027832,15,,,,1,0.9289021492004395,32,1,4.476712703704834,15,,,,263.9959716796875,191.25,
512,1,5.44115424156189,32,1,12.279741287231445,14,,,,1,1.2070517539978027,32,1,7.584173917770386,14,,,,263.9989929199219,179.6484375,
1024,1,10.932668447494507,33,1,22.935160636901855,13,,,,1,2.1469693183898926,33,1,13.628747940063477,13,,,,271.99974060058594,167.8359375,
2048,1,31.78234887123108,33,1,49.94359493255615,12,,,,1,5.669649124145508,33,1,23.402545928955078,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.2971665859222412,200,,,,,,,1,0.03806424140930176,200,,,201.0
21,,,,,,,1,0.3045930862426758,300,,,,,,,1,0.042418718338012695,300,,,301.0
27,,,,,,,1,0.320528507232666,600,,,,,,,1,0.057093143463134766,600,,,601.0
35,,,,,,,1,0.23223423957824707,800,,,,,,,1,0.06541657447814941,800,,,801.0
46,,,,,,,1,0.36957693099975586,1600,,,,,,,1,0.10175824165344238,1600,,,1601.0
60,,,,,,,1,0.4382193088531494,2800,,,,,,,1,0.15630173683166504,2800,,,2801.0
78,,,,,,,1,0.5309500694274902,4600,,,,,,,1,0.23860454559326172,4600,,,4601.0
101,,,,,,,1,0.6996243000030518,7800,,,,,,,1,0.38289570808410645,7800,,,7801.0
131,,,,,,,1,1.0027685165405273,13400,,,,,,,1,0.6394169330596924,13400,,,13401.0
170,,,,,,,1,1.6151008605957031,22400,,,,,,,1,1.2500648498535156,22400,,,22401.0
221,,,,,,,1,3.637697696685791,38000,,,,,,,1,3.0925962924957275,38000,,,38001.0
287,,,,,,,1,8.382941007614136,64200,,,,,,,1,7.758227348327637,64200,,,64201.0
373,,,,,,,1,23.809107065200806,108600,,,,,,,1,22.844326972961426,108600,,,108601.0
485,,,,,,,1,64.0111186504364,183600,,,,,,,1,62.47819685935974,183600,,,183601.0
630,,,,,,,1,179.7096860408783,310000,,,,,,,1,177.33883547782898,310000,,,310001.0
16,1,1.4149010181427002,19,1,1.9622325897216797,18,,,,1,0.3092997074127197,19,1,0.5970332622528076,18,,,,159.375,213.75,
32,1,1.9566082954406738,27,1,2.669243335723877,20,,,,1,0.457965612411499,27,1,1.0189156532287598,20,,,,223.78125,244.125,
64,1,2.416313648223877,30,1,3.7032673358917236,18,,,,1,0.5897512435913086,30,1,1.6977412700653076,18,,,,247.939453125,224.4375,
128,1,3.028743028640747,31,1,4.960346937179565,16,,,,1,0.7362895011901855,31,1,2.6068406105041504,16,,,,255.984375,202.40625,
256,1,3.9438791275024414,32,1,7.609296798706055,15,,,,1,0.9317951202392578,32,1,4.324085474014282,15,,,,263.9959716796875,191.25,
512,1,5.310273885726929,32,1,12.03966760635376,14,,,,1,1.2063465118408203,32,1,7.800421953201294,14,,,,263.9989929199219,179.6484375,
1024,1,11.028322696685791,33,1,22.649532318115234,13,,,,1,2.15745210647583,33,1,13.492171049118042,13,,,,271.99974060058594,167.8359375,
2048,1,31.854755878448486,33,1,52.0334415435791,12,,,,1,5.680951118469238,33,1,25.21480393409729,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.3009178638458252,200,,,,,,,1,0.038138389587402344,200,,,201.0
21,,,,,,,1,0.30634355545043945,300,,,,,,,1,0.043602705001831055,300,,,301.0
27,,,,,,,1,0.3213064670562744,600,,,,,,,1,0.05673837661743164,600,,,601.0
35,,,,,,,1,0.2328946590423584,800,,,,,,,1,0.06525802612304688,800,,,801.0
46,,,,,,,1,0.27582311630249023,1600,,,,,,,1,0.10106348991394043,1600,,,1601.0
60,,,,,,,1,0.34068822860717773,2800,,,,,,,1,0.1577141284942627,2800,,,2801.0
78,,,,,,,1,0.43714237213134766,4600,,,,,,,1,0.23886799812316895,4600,,,4601.0
101,,,,,,,1,0.7027060985565186,7800,,,,,,,1,0.38472628593444824,7800,,,7801.0
131,,,,,,,1,0.997422456741333,13400,,,,,,,1,0.6347787380218506,13400,,,13401.0
170,,,,,,,1,1.610222339630127,22400,,,,,,,1,1.2502977848052979,22400,,,22401.0
221,,,,,,,1,3.647763252258301,38000,,,,,,,1,3.094165325164795,38000,,,38001.0
287,,,,,,,1,8.513559579849243,64200,,,,,,,1,7.7592549324035645,64200,,,64201.0
373,,,,,,,1,23.882827758789062,108600,,,,,,,1,22.846747159957886,108600,,,108601.0
485,,,,,,,1,64.04358339309692,183600,,,,,,,1,62.48051595687866,183600,,,183601.0
630,,,,,,,1,179.72541737556458,310000,,,,,,,1,177.34768557548523,310000,,,310001.0
16,1,1.416550636291504,19,1,1.9628949165344238,18,,,,1,0.31209492683410645,19,1,0.6071577072143555,18,,,,159.375,213.75,
32,1,1.964073657989502,27,1,2.6776061058044434,20,,,,1,0.44815540313720703,27,1,1.019479513168335,20,,,,223.78125,244.125,
64,1,2.386254072189331,30,1,3.6987271308898926,18,,,,1,0.6059975624084473,30,1,1.6992747783660889,18,,,,247.939453125,224.4375,
128,1,3.024308204650879,31,1,5.03619647026062,16,,,,1,0.7391397953033447,31,1,2.692789316177368,16,,,,255.984375,202.40625,
256,1,3.913994789123535,32,1,7.51007342338562,15,,,,1,0.9162075519561768,32,1,4.226221799850464,15,,,,263.9959716796875,191.25,
512,1,5.337248802185059,32,1,12.099509716033936,14,,,,1,1.208388090133667,32,1,7.491809129714966,14,,,,263.9989929199219,179.6484375,
1024,1,10.93421220779419,33,1,22.58325171470642,13,,,,1,2.1528098583221436,33,1,13.321999073028564,13,,,,271.99974060058594,167.8359375,
2048,1,32.09260153770447,33,1,52.31370162963867,12,,,,1,5.679322242736816,33,1,24.939199924468994,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.30019092559814453,200,,,,,,,1,0.038295745849609375,200,,,201.0
21,,,,,,,1,0.2050943374633789,300,,,,,,,1,0.042860984802246094,300,,,301.0
27,,,,,,,1,0.22307157516479492,600,,,,,,,1,0.05697441101074219,600,,,601.0
35,,,,,,,1,0.23294544219970703,800,,,,,,,1,0.06563234329223633,800,,,801.0
46,,,,,,,1,0.2758791446685791,1600,,,,,,,1,0.10143303871154785,1600,,,1601.0
60,,,,,,,1,0.43899965286254883,2800,,,,,,,1,0.15688085556030273,2800,,,2801.0
78,,,,,,,1,0.4411604404449463,4600,,,,,,,1,0.2421717643737793,4600,,,4601.0
101,,,,,,,1,0.7068562507629395,7800,,,,,,,1,0.38413476943969727,7800,,,7801.0
131,,,,,,,1,0.9041445255279541,13400,,,,,,,1,0.6385385990142822,13400,,,13401.0
170,,,,,,,1,1.6016685962677002,22400,,,,,,,1,1.25313401222229,22400,,,22401.0
221,,,,,,,1,3.63173508644104,38000,,,,,,,1,3.0929651260375977,38000,,,38001.0
287,,,,,,,1,8.495471239089966,64200,,,,,,,1,7.75778865814209,64200,,,64201.0
373,,,,,,,1,23.828503370285034,108600,,,,,,,1,22.850582361221313,108600,,,108601.0
485,,,,,,,1,64.05117583274841,183600,,,,,,,1,62.4796462059021,183600,,,183601.0
630,,,,,,,1,179.73841428756714,310000,,,,,,,1,177.35929894447327,310000,,,310001.0
16,1,1.3959839344024658,19,1,1.9550237655639648,18,,,,1,0.30863118171691895,19,1,0.5902740955352783,18,,,,159.375,213.75,
32,1,1.951345682144165,27,1,2.7136781215667725,20,,,,1,0.4494132995605469,27,1,1.0295982360839844,20,,,,223.78125,244.125,
64,1,2.379957914352417,30,1,3.6850807666778564,18,,,,1,0.5907187461853027,30,1,1.6865386962890625,18,,,,247.939453125,224.4375,
128,1,3.02461576461792,31,1,5.046730041503906,16,,,,1,0.7519676685333252,31,1,2.6934492588043213,16,,,,255.984375,202.40625,
256,1,3.927182674407959,32,1,7.51036810874939,15,,,,1,0.9175729751586914,32,1,4.379511594772339,15,,,,263.9959716796875,191.25,
512,1,5.308811902999878,32,1,11.921067953109741,14,,,,1,1.201728105545044,32,1,7.259456157684326,14,,,,263.9989929199219,179.6484375,
1024,1,11.00512146949768,33,1,23.198797464370728,13,,,,1,2.1396000385284424,33,1,13.898467063903809,13,,,,271.99974060058594,167.8359375,
2048,1,33.92401146888733,33,1,51.853766441345215,12,,,,1,5.67659854888916,33,1,23.09896731376648,12,,,,271.9999351501465,155.923828125,
16,,,,,,,1,0.2012186050415039,200,,,,,,,1,0.038222551345825195,200,,,201.0
21,,,,,,,1,0.20607519149780273,300,,,,,,,1,0.04315376281738281,300,,,301.0
27,,,,,,,1,0.22191357612609863,600,,,,,,,1,0.05678367614746094,600,,,601.0
35,,,,,,,1,0.3326125144958496,800,,,,,,,1,0.06580257415771484,800,,,801.0
46,,,,,,,1,0.37405848503112793,1600,,,,,,,1,0.10162758827209473,1600,,,1601.0
60,,,,,,,1,0.43628787994384766,2800,,,,,,,1,0.15613055229187012,2800,,,2801.0
78,,,,,,,1,0.43334341049194336,4600,,,,,,,1,0.2398536205291748,4600,,,4601.0
101,,,,,,,1,0.7038874626159668,7800,,,,,,,1,0.3832740783691406,7800,,,7801.0
131,,,,,,,1,0.9995613098144531,13400,,,,,,,1,0.6331665515899658,13400,,,13401.0
170,,,,,,,1,1.6853225231170654,22400,,,,,,,1,1.2490317821502686,22400,,,22401.0
221,,,,,,,1,3.559039354324341,38000,,,,,,,1,3.0928876399993896,38000,,,38001.0
287,,,,,,,1,8.509633541107178,64200,,,,,,,1,7.758406639099121,64200,,,64201.0
373,,,,,,,1,23.876660346984863,108600,,,,,,,1,22.848878145217896,108600,,,108601.0
485,,,,,,,1,64.05476188659668,183600,,,,,,,1,62.49101281166077,183600,,,183601.0
630,,,,,,,1,179.74792528152466,310000,,,,,,,1,177.36047387123108,310000,,,310001.0
16,1,1.4006948471069336,19,1,1.953047752380371,18,,,,1,0.30501604080200195,19,1,0.590308666229248,18,,,,159.375,213.75,
32,1,2.0659329891204834,27,1,2.6883773803710938,20,,,,1,0.454740047454834,27,1,1.0232536792755127,20,,,,223.78125,244.125,
